epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0156,1.47028,1.69448,1.50457,0.17047,0.50225,0.20449,0.08328,2.19827,17.6288,2.54116,0.000662698,0.000662698,0.000662698
2,74.5971,1.523,1.58662,1.54435,0.39032,0.3694,0.31803,0.15681,2.05847,5.74292,2.15363,0.0013162,0.0013162,0.0013162
3,107.23,1.46812,1.55163,1.52181,0.58503,0.39179,0.46078,0.25287,1.81794,5.39543,1.92616,0.00195651,0.00195651,0.00195651
4,139.321,1.4317,1.43144,1.48349,0.57391,0.50373,0.53208,0.31768,1.6422,2.60859,1.78835,0.0019406,0.0019406,0.0019406
5,171.449,1.36334,1.34753,1.44781,0.60433,0.58582,0.57283,0.35815,1.53632,2.53457,1.64354,0.0019208,0.0019208,0.0019208
6,203.445,1.32717,1.2362,1.4008,0.83479,0.51866,0.64919,0.39189,1.67404,1.79263,1.72104,0.001901,0.001901,0.001901
7,235.625,1.27827,1.20057,1.38155,0.78228,0.58582,0.70076,0.45959,1.43323,1.75225,1.53597,0.0018812,0.0018812,0.0018812
8,267.599,1.24292,1.13959,1.34527,0.73889,0.50373,0.61028,0.39473,1.53244,2.18484,1.61919,0.0018614,0.0018614,0.0018614
9,299.352,1.23205,1.1094,1.33751,0.61971,0.43284,0.49284,0.3048,1.64017,1.87499,1.73594,0.0018416,0.0018416,0.0018416
10,331.21,1.2126,1.08411,1.32705,0.71925,0.64552,0.68134,0.43223,1.43615,1.77068,1.5589,0.0018218,0.0018218,0.0018218
11,363.251,1.18617,1.05037,1.30618,0.84644,0.55224,0.70159,0.46126,1.41213,1.47676,1.50381,0.001802,0.001802,0.001802
12,395.381,1.16753,1.0033,1.29678,0.77055,0.6791,0.74036,0.48902,1.39332,1.32216,1.50017,0.0017822,0.0017822,0.0017822
13,427.394,1.1612,0.98408,1.28674,0.77008,0.65672,0.72764,0.4827,1.37798,1.38792,1.48371,0.0017624,0.0017624,0.0017624
14,459.572,1.17105,1.00126,1.28953,0.82662,0.63433,0.75477,0.52094,1.31321,1.38178,1.43252,0.0017426,0.0017426,0.0017426
15,491.94,1.14173,0.94812,1.28237,0.79146,0.66561,0.76101,0.50583,1.41032,1.38137,1.50467,0.0017228,0.0017228,0.0017228
16,523.625,1.12662,0.93519,1.26203,0.81534,0.69196,0.78895,0.53063,1.3549,1.30907,1.47216,0.001703,0.001703,0.001703
17,555.552,1.10801,0.91339,1.26134,0.76334,0.61194,0.69948,0.47496,1.34579,1.41394,1.41124,0.0016832,0.0016832,0.0016832
18,587.656,1.10032,0.89377,1.2495,0.80364,0.66791,0.73992,0.50287,1.33143,1.34195,1.44775,0.0016634,0.0016634,0.0016634
19,619.285,1.12956,0.91028,1.26227,0.84918,0.65672,0.78064,0.54006,1.37174,1.34305,1.45948,0.0016436,0.0016436,0.0016436
20,651.357,1.12492,0.92598,1.26324,0.86561,0.63433,0.75849,0.50902,1.40491,1.41663,1.48522,0.0016238,0.0016238,0.0016238
21,683.061,1.08823,0.87959,1.23988,0.78796,0.67944,0.78698,0.55681,1.28412,1.23922,1.3945,0.001604,0.001604,0.001604
22,715.155,1.05667,0.85189,1.21373,0.82216,0.67275,0.77074,0.52289,1.3943,1.31659,1.48556,0.0015842,0.0015842,0.0015842
23,746.883,1.09374,0.8648,1.23497,0.83477,0.70149,0.76565,0.51778,1.37014,1.3037,1.48098,0.0015644,0.0015644,0.0015644
24,778.644,1.0625,0.84106,1.23014,0.81769,0.63594,0.75602,0.51777,1.33116,1.33127,1.43413,0.0015446,0.0015446,0.0015446
25,810.301,1.06825,0.81418,1.21834,0.83483,0.71665,0.7936,0.55873,1.28435,1.25498,1.39225,0.0015248,0.0015248,0.0015248
26,842.536,1.05225,0.80998,1.215,0.78905,0.72577,0.79368,0.54765,1.33759,1.11999,1.44521,0.001505,0.001505,0.001505
27,874.112,1.02944,0.79921,1.1965,0.90843,0.65672,0.79616,0.55894,1.31992,1.13238,1.4329,0.0014852,0.0014852,0.0014852
28,906.222,1.04405,0.79523,1.20101,0.85301,0.6903,0.80436,0.55573,1.3069,1.18935,1.39828,0.0014654,0.0014654,0.0014654
29,937.931,1.04276,0.79115,1.20554,0.82396,0.71642,0.79978,0.56078,1.26291,1.17515,1.35787,0.0014456,0.0014456,0.0014456
30,969.932,1.03758,0.77748,1.19808,0.87174,0.68657,0.8078,0.56284,1.2961,1.17668,1.40962,0.0014258,0.0014258,0.0014258
31,1002.05,1.02646,0.76745,1.18857,0.86309,0.70571,0.81235,0.55783,1.31611,1.13277,1.41705,0.001406,0.001406,0.001406
32,1033.97,1.01773,0.77062,1.20055,0.88755,0.67737,0.81428,0.55658,1.29497,1.12295,1.40378,0.0013862,0.0013862,0.0013862
33,1065.72,0.99707,0.74543,1.17134,0.8409,0.71,0.8078,0.56827,1.2252,1.12283,1.33742,0.0013664,0.0013664,0.0013664
34,1097.75,1.00855,0.73415,1.18254,0.77785,0.6903,0.78562,0.52194,1.33385,1.1766,1.43049,0.0013466,0.0013466,0.0013466
35,1129.45,1.00253,0.73856,1.18474,0.81287,0.74627,0.80371,0.55738,1.26451,1.11668,1.37249,0.0013268,0.0013268,0.0013268
36,1161.14,0.98566,0.721,1.17181,0.85625,0.6903,0.80949,0.55998,1.26741,1.13089,1.38095,0.001307,0.001307,0.001307
37,1192.95,0.98034,0.72186,1.16042,0.8343,0.71269,0.79502,0.5531,1.29162,1.27909,1.4017,0.0012872,0.0012872,0.0012872
38,1224.7,0.98284,0.70392,1.17891,0.89696,0.71269,0.83146,0.58834,1.20937,1.06116,1.33204,0.0012674,0.0012674,0.0012674
39,1256.71,0.99783,0.71393,1.17968,0.85766,0.71269,0.82587,0.57795,1.21563,1.06556,1.32743,0.0012476,0.0012476,0.0012476
40,1288.76,0.98312,0.71005,1.1614,0.84189,0.74627,0.83504,0.59733,1.22932,0.99666,1.33463,0.0012278,0.0012278,0.0012278
41,1320.65,0.98524,0.71784,1.1693,0.84654,0.73134,0.81,0.57846,1.25164,1.15079,1.36255,0.001208,0.001208,0.001208
42,1352.44,0.96396,0.70937,1.16226,0.87489,0.72388,0.82008,0.58095,1.27301,1.07581,1.35983,0.0011882,0.0011882,0.0011882
43,1384.14,0.97882,0.68947,1.16971,0.82618,0.76493,0.82427,0.57857,1.2116,1.10957,1.33841,0.0011684,0.0011684,0.0011684
44,1415.89,0.96411,0.68788,1.1544,0.9215,0.70082,0.83516,0.59396,1.19519,1.04297,1.30394,0.0011486,0.0011486,0.0011486
45,1447.46,0.95325,0.67802,1.15442,0.80876,0.77321,0.83369,0.59089,1.26367,1.04366,1.35671,0.0011288,0.0011288,0.0011288
46,1479.12,0.97786,0.67476,1.17084,0.87726,0.73881,0.8322,0.59243,1.20975,1.01274,1.30642,0.001109,0.001109,0.001109
47,1511.08,0.96114,0.67492,1.15701,0.86652,0.74254,0.84471,0.58495,1.21928,1.09697,1.31777,0.0010892,0.0010892,0.0010892
48,1542.63,0.96026,0.65225,1.15097,0.86322,0.74627,0.82995,0.59334,1.22496,1.04322,1.317,0.0010694,0.0010694,0.0010694
49,1574.35,0.94816,0.65934,1.14768,0.90309,0.69403,0.83053,0.59399,1.24724,1.03432,1.34873,0.0010496,0.0010496,0.0010496
50,1605.99,0.92595,0.65209,1.13323,0.88016,0.73134,0.84053,0.60202,1.18565,1.0415,1.30897,0.0010298,0.0010298,0.0010298
51,1637.88,0.94319,0.6462,1.1508,0.81717,0.73134,0.83771,0.59392,1.17404,1.04284,1.30935,0.00101,0.00101,0.00101
52,1669.59,0.94148,0.64321,1.1351,0.89854,0.73507,0.84815,0.61498,1.17156,1.00957,1.2956,0.0009902,0.0009902,0.0009902
53,1701.61,0.93194,0.61779,1.13998,0.82122,0.76119,0.82592,0.59379,1.26048,1.10625,1.37002,0.0009704,0.0009704,0.0009704
54,1733.18,0.91629,0.62241,1.1311,0.86355,0.73881,0.8418,0.61024,1.17943,1.02954,1.30999,0.0009506,0.0009506,0.0009506
55,1765.19,0.92593,0.6237,1.13299,0.90753,0.72388,0.84087,0.59747,1.20488,1.02748,1.3126,0.0009308,0.0009308,0.0009308
56,1796.88,0.91753,0.63063,1.13607,0.86683,0.72388,0.84956,0.60715,1.18102,0.97067,1.31001,0.000911,0.000911,0.000911
57,1828.61,0.90885,0.61796,1.12203,0.88277,0.75,0.85286,0.6122,1.18341,0.96093,1.30607,0.0008912,0.0008912,0.0008912
58,1860.3,0.92003,0.6218,1.13303,0.88518,0.73134,0.85267,0.61166,1.16711,0.9456,1.29759,0.0008714,0.0008714,0.0008714
59,1891.82,0.89288,0.57586,1.12006,0.84675,0.78347,0.84753,0.59732,1.20132,0.93937,1.31597,0.0008516,0.0008516,0.0008516
60,1923.5,0.88683,0.5977,1.10721,0.93803,0.7342,0.85016,0.59844,1.18933,0.98275,1.30823,0.0008318,0.0008318,0.0008318
61,1955.21,0.88577,0.60562,1.1137,0.85345,0.78228,0.85938,0.61706,1.1621,0.98246,1.28548,0.000812,0.000812,0.000812
62,1987.27,0.88436,0.57729,1.11358,0.86143,0.73881,0.84951,0.59661,1.19053,0.98459,1.30409,0.0007922,0.0007922,0.0007922
63,2019.27,0.89549,0.59172,1.12143,0.88272,0.75827,0.83941,0.60319,1.17686,0.97824,1.29311,0.0007724,0.0007724,0.0007724
64,2050.94,0.87791,0.60208,1.10962,0.86662,0.79478,0.86313,0.6137,1.17914,0.97327,1.30352,0.0007526,0.0007526,0.0007526
65,2082.63,0.87371,0.57015,1.1085,0.90929,0.74805,0.86546,0.62004,1.15936,0.94741,1.29091,0.0007328,0.0007328,0.0007328
66,2114.72,0.87971,0.5664,1.10908,0.90024,0.75373,0.86567,0.62678,1.16608,0.94526,1.28537,0.000713,0.000713,0.000713
67,2146.77,0.86932,0.55353,1.10975,0.88511,0.77616,0.86134,0.61161,1.19516,0.96019,1.31941,0.0006932,0.0006932,0.0006932
68,2178.49,0.86141,0.55968,1.10794,0.86517,0.79011,0.86569,0.61958,1.16649,0.93727,1.30485,0.0006734,0.0006734,0.0006734
69,2210.18,0.85482,0.56109,1.0964,0.89218,0.77188,0.85862,0.61561,1.18129,0.9448,1.28349,0.0006536,0.0006536,0.0006536
70,2241.88,0.87649,0.56278,1.10891,0.88869,0.77458,0.86858,0.61937,1.17374,0.92672,1.29049,0.0006338,0.0006338,0.0006338
71,2273.69,0.86017,0.55798,1.10323,0.8504,0.8097,0.86609,0.61127,1.16741,0.92955,1.28943,0.000614,0.000614,0.000614
72,2305.77,0.86048,0.55144,1.09619,0.835,0.81195,0.86044,0.60838,1.18688,0.87068,1.30961,0.0005942,0.0005942,0.0005942
73,2337.5,0.86248,0.55273,1.09804,0.85632,0.75,0.85475,0.6149,1.16248,0.92894,1.28462,0.0005744,0.0005744,0.0005744
74,2369.34,0.85731,0.55337,1.10258,0.85615,0.75506,0.84317,0.60793,1.15192,0.92654,1.29862,0.0005546,0.0005546,0.0005546
75,2401.12,0.83724,0.51781,1.0969,0.88771,0.78358,0.8708,0.62065,1.14645,0.90541,1.26358,0.0005348,0.0005348,0.0005348
76,2433.03,0.84362,0.52224,1.07757,0.88623,0.76493,0.85394,0.60281,1.17444,0.92405,1.29814,0.000515,0.000515,0.000515
77,2464.66,0.84567,0.52671,1.09288,0.90092,0.7804,0.85014,0.61167,1.19486,0.95416,1.31699,0.0004952,0.0004952,0.0004952
78,2496.42,0.84646,0.5415,1.08456,0.86865,0.76496,0.85094,0.6128,1.18678,0.97821,1.3078,0.0004754,0.0004754,0.0004754
79,2528.4,0.83942,0.51716,1.08414,0.87989,0.78731,0.85437,0.60892,1.19794,0.91985,1.31673,0.0004556,0.0004556,0.0004556
80,2560.11,0.82977,0.51485,1.08838,0.89268,0.77596,0.86619,0.62439,1.15528,0.91037,1.29745,0.0004358,0.0004358,0.0004358
81,2591.9,0.81709,0.51577,1.07414,0.85084,0.80882,0.8644,0.62605,1.15696,0.90894,1.28051,0.000416,0.000416,0.000416
